Material;Descrição;Status;PP_TIPO_SACO_COLADO;PP_ALTURA_UTIL;PP_FACE;PP_PATCH;PP_FUNDO;PP_FUNDO_INF;PP_VALVULA;PP_PERFURADO_TUBEIRA;PP_PERFURADO_COLADEIRA;PP_FUROS_COLADEIRA;PP_DIAMETRO_FUROS_COLADEI;PP_NUMERO_FOLHAS;PP_PAPEL_EXTERNO;PP_GRAMATURA_EXTERNO;PP_PAPEL_2;PP_GRAMATURA_2;PP_PAPEL_3;PP_GRAMATURA_3;PP_PAPEL_4;PP_GRAMATURA_4;PP_PAPEL_5;PP_GRAMATURA_5;PP_PAPEL_INTERNO;PP_GRAMATURA_INTERNO;PP_TIP_PERF_FOL_EXT;PP_TIP_PERF_FOL_2;PP_TIP_PERF_FOL_3;PP_TIP_PERF_FOL_4;PP_TIP_PERF_FOL_5;PP_TIP_PERF_FOL_INT;PP_LARGURA_PEAD;PP_PERMEANCIA
544099;COLME 96X72  FLOBOND;L;COLME;585;470;X;100;100;90;N;N;;;3;SBK;83;PAX;10;;;;;;;SAK;90;;;;;;;950;30
544126;COLVA  70x56ACI ROYAL GRES 20KG 9007168R;C;COLVA;415;335;X;110;110;110;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544150;COLMI 70x56 MULTI USO GERAL20KG 9008445R;L;COLMI;415;335;X;110;110;110;S;N;;;3;SAK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544161;COLVA 70x56 SUPER EXTERNO 20KG 9008596R;C;COLVA;415;335;X;110;;110;S;N;;;3;SDK;70;PAX;10;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544172;COLVA 70x58 PIS S PIS INT CZA 9007178R;C;COLVA;435;335;X;110;;110;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544175;COLVA 70x56 CIMENTCOLA EXTERNO 9000195R;C;COLVA;415;335;X;110;;110;S;N;;;3;SDK;70;PAX;10;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544185;COLMI 70X56 ROYAL GRES PORC INT 9007170R;L;COLMI;415;335;X;110;110;110;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544187;COLVA 70x56 COLAFLIX ACI CZA 9005467R;L;COLVA;415;335;X;110;110;110;S;N;;;3;SAK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544188;COLVA70x58 IMAR C ADE ACIII CZA 9005470R;L;COLVA;430;335;X;110;110;110;S;N;;;3;SAK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544212;COLMI 76x60 SUPER GRAUTE 25KG  9000146;L;COLMI;455;365;X;110;110;110;S;N;;;3;SDK;80;PAX;8;;;;;;;SAK;120;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;740;20
544275;COLVA70x56 IMAR COLAFI ACII CZA9005468R;L;COLVA;415;335;X;110;110;110;S;N;;;3;SAK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
544514;COLMI78x66 CONTRAPIS PRO STD30KG 9008796;L;COLMI;515;375;X;110;110;110;S;N;;;3;SAK;85;PAX;8;;;;;;;SAK;85;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;760;20
544521;COLMI 78x60 MONOCAPA NATURA 9008483;L;COLMI;455;380;X;110;110;110;S;N;;;3;SAK;85;PAX;8;;;;;;;SAK;85;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;770;20
